    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, icantbelieveitcansort_cmp, icantbelieveitcansort_swaps, icantbelieveitcansort_time, heapsort_cmp, heapsort_swaps, heapsort_time
 4560,      10368265,         5177299,           5196,    204753,       16124,        329,                  41596321,                     5078134,                      14450,       264820,         119657,           349
 4561,      10368940,         5177635,           5326,    208741,       16004,        326,                  41614565,                     5078461,                      14910,       264813,         119526,           353
 4562,      10376619,         5181473,           5203,    206407,       16031,        325,                  41632813,                     5082201,                      14832,       264930,         119709,           351
 4563,      10382080,         5184202,           5202,    205797,       16085,        328,                  41651065,                     5084859,                      14578,       264908,         119604,           349
 4564,      10383613,         5184967,           5249,    211026,       15757,        320,                  41669321,                     5085608,                      14393,       264900,         119611,           353
 4565,      10391186,         5188752,           5352,    205481,       16145,        331,                  41687581,                     5089299,                      14225,       265242,         119795,           357
 4566,      10391473,         5188894,           5322,    204628,       16151,        330,                  41705845,                     5089439,                      14958,       265419,         119879,           353
 4567,      10400232,         5193272,           5283,    207304,       16065,        329,                  41724113,                     5093706,                      14633,       265347,         119840,           353
 4568,      10408579,         5197444,           5236,    203562,       16143,        329,                  41742385,                     5097773,                      15173,       265204,         119698,           349
 4569,      10411930,         5199118,           5347,    209157,       15819,        324,                  41760661,                     5099402,                      14580,       265402,         119837,           387
 4570,      10417647,         5201975,           5359,    207309,       16070,        328,                  41778941,                     5102186,                      14691,       265708,         120003,           350
 4571,      10420480,         5203390,           5273,    204870,       16093,        331,                  41797225,                     5103561,                      15213,       265592,         119954,           351
 4572,      10424475,         5205386,           5279,    206039,       16115,        329,                  41815513,                     5105501,                      14417,       265635,         119894,           349
 4573,      10428252,         5207273,           5427,    207442,       16056,        330,                  41833805,                     5107334,                      14325,       265609,         119979,           398
 4574,      10433251,         5209771,           5259,    205631,       16118,        331,                  41852101,                     5109767,                      14723,       265671,         120048,           349
 4575,      10439150,         5212719,           5394,    206229,       16199,        336,                  41870401,                     5112642,                      14724,       265871,         120103,           374
